"","power","time","gas.Air","gas.Argon","gas.Nitrogen","pressure","ratio"
"197",5394,10380,0,1,0,970,2.287450434
"198",5480,12267,0,0,1,180,1.149918539
"199",616,7988,1,0,0,60,0.12
"200",628,10332,1,0,0,200,0.12
"201",698,18907,0,1,0,820,1.978090509
"202",731,10628,0,1,0,710,1.748881858
"203",745,2168,0,1,0,790,2.152875412
"204",783,10474,0,1,0,690,1.989581105
"205",826,1826,0,1,0,480,3.148752413
"206",830,10446,0,1,0,730,2.743036246
"207",83,8031,1,0,0,610,0.12
"208",933,7024,0,0,1,940,0.917709244
"209",952,18662,0,1,0,290,1.815097367
"210",981,18639,0,1,0,290,1.256006035
